conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Varicose veins	http://www.symcat.com/conditions/varicose-veins	Varicose veins	"Also known as Varicose Vein, Varices, Varix, Phlebectasia, Venous Ectasia, and Enlarged Tortuous Blood Vessel"		Collagenase Topical				
Diaper rash	http://www.symcat.com/conditions/diaper-rash--2	Diaper rash	"Also known as Diaper Dermatitis, Nappy Rash, and Napkin Dermatitis"		Pneumococcal 23-Polyvalent Vaccine				
Vitamin B12 deficiency	http://www.symcat.com/conditions/vitamin-b12-deficiency	Vitamin B12 deficiency	Also known as Cobalamin Deficiency and Cyanocobalamin Deficiency		Entacapone (Comtan)				
Concussion	http://www.symcat.com/conditions/concussion	Concussion	Also known as Cerebral Concussion and Commotio Cerebri		Cefmetazole				
Acute respiratory distress syndrome (ARDS)	http://www.symcat.com/conditions/acute-respiratory-distress-syndrome-ards	Acute respiratory distress syndrome (ARDS)	"Also known as ARDS, Adult Respiratory Syndrome, Wet Lung, Shock Lung, Wet Lung Syndrome, Danang Lung, and Adult Hyaline Membrane Disease"	Radiographic imaging procedure					
Autism	http://www.symcat.com/conditions/autism	Autism	Also known as Autistic Disorder		Adderall				
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema		Betamethasone Topical Product				
Burn	http://www.symcat.com/conditions/burn	Burn	Also known as Burn Injury			Elbow pain	12		
Neuralgia	http://www.symcat.com/conditions/neuralgia	Neuralgia	null			Paresthesia	31		
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury	Application of splint (Splinting)					
Tooth disorder	http://www.symcat.com/conditions/tooth-disorder	Tooth disorder	"Also known as Tooth Disease, Dental Disease, and Disease Of Teeth"					Black	1.2x
Tension headache	http://www.symcat.com/conditions/tension-headache	Tension headache	Also known as Stress Headache and Tension Type Headache					Hispanic	1.0x
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema			Abnormal appearing skin	47		
Otitis media	http://www.symcat.com/conditions/otitis-media	Otitis media	Also known as Middle Ear Infection					< 1 years	4.5x
Acute sinusitis	http://www.symcat.com/conditions/acute-sinusitis	Acute sinusitis	null					Female	1.1x
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null					Other	1.5x
Benign prostatic hyperplasia (BPH)	http://www.symcat.com/conditions/benign-prostatic-hyperplasia-bph	Benign prostatic hyperplasia (BPH)	"Also known as BPH, Benign Prostatic Hypertrophy, and Benign Prostate Enlargement"	Hematologic tests (Blood test)					
Migraine	http://www.symcat.com/conditions/migraine	Migraine	Also known as Migraine Headaches and Migraine Syndrome			Disturbance of memory	7		
Spondylosis	http://www.symcat.com/conditions/spondylosis	Spondylosis	null					60-74 years	1.8x
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null		Aprepitant (Emend)				
Depression	http://www.symcat.com/conditions/depression--2	Depression	Also known as Depressive Disorder					60-74 years	0.9x
Panic disorder	http://www.symcat.com/conditions/panic-disorder	Panic disorder	null	Mental health counseling					
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null	Electrolytes panel					
Stye	http://www.symcat.com/conditions/stye	Stye	Also known as Hordeolum and Hordeolum Externum			Symptoms of eye	46		
Oral thrush (yeast infection)	http://www.symcat.com/conditions/oral-thrush-yeast-infection	Oral thrush (yeast infection)	null					Male	1.2x
Cold sore	http://www.symcat.com/conditions/cold-sore	Cold sore	"Also known as Cold Sores, Fever Blister, Fever Sore, Lip Herpes, and Herpes Labialis"					1-4 years	0.9x
Envenomation from spider or animal bite	http://www.symcat.com/conditions/envenomation-from-spider-or-animal-bite	Envenomation from spider or animal bite	null			Skin rash	35		
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"		Dipivefrin Ophthalmic				
Pain after an operation	http://www.symcat.com/conditions/pain-after-an-operation	Pain after an operation	Also known as Postoperative Pain		Orphenadrine (Flexon)				
Injury to the arm	http://www.symcat.com/conditions/injury-to-the-arm	Injury to the arm	"Also known as Arm Injury, Upper Extremity Injury, and Upper Limb Injury"					Hispanic	0.8x
Idiopathic excessive menstruation	http://www.symcat.com/conditions/idiopathic-excessive-menstruation	Idiopathic excessive menstruation	null					5-14 years	0.3x
Chronic kidney disease	http://www.symcat.com/conditions/chronic-kidney-disease	Chronic kidney disease	null	Complete blood count (Cbc)					
Obesity	http://www.symcat.com/conditions/obesity	Obesity	null		Orlistat (Alli)				
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"			Abnormal appearing skin	35		
Degenerative disc disease	http://www.symcat.com/conditions/degenerative-disc-disease	Degenerative disc disease	Also known as Disk Degeneration and Intervertebral Disc Degeneration					60-74 years	1.6x
Liver disease	http://www.symcat.com/conditions/liver-disease	Liver disease	"Also known as Liver Disease, Disease Of Liver, Hepatic Disease, Hepatic Disorder, Hepatocellular Disease, and Hepatopathy"		Spironolactone				
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease					1-4 years	0.8x
Chronic kidney disease	http://www.symcat.com/conditions/chronic-kidney-disease	Chronic kidney disease	null		Calcitriol				
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"			Sharp chest pain	29		
Gastritis	http://www.symcat.com/conditions/gastritis	Gastritis	Also known as Stomach Inflammation and Gastric Inflammation					45-59 years	1.0x
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null					Other	1.3x
Venous insufficiency	http://www.symcat.com/conditions/venous-insufficiency	Venous insufficiency	null	Complete physical skin exam performed (ML)					
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"		Mycophenolate Mofetil (Cellcept)				
Injury to the arm	http://www.symcat.com/conditions/injury-to-the-arm	Injury to the arm	"Also known as Arm Injury, Upper Extremity Injury, and Upper Limb Injury"	Occupational therapy assessment (Speech therapy)					
Diverticulitis	http://www.symcat.com/conditions/diverticulitis	Diverticulitis	null					30-44 years	0.8x
Hyperlipidemia	http://www.symcat.com/conditions/hyperlipidemia	Hyperlipidemia	Also known as Lipidemia and Excessive Fat In The Blood	Examination of foot					
Conjunctivitis due to allergy	http://www.symcat.com/conditions/conjunctivitis-due-to-allergy	Conjunctivitis due to allergy	Also known as Allergic Conjunctivitis and Atopic Conjunctivitis		Loratadine (Claritin)				
Thrombocytopenia	http://www.symcat.com/conditions/thrombocytopenia	Thrombocytopenia	Also known as Reduced Platelet Count					Female	1.0x
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis		Cortisone				
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease					15-29 years	0.5x
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury					Male	1.1x
Cataract	http://www.symcat.com/conditions/cataract	Cataract	Also known as Lens Opacity and Lenticular Opacity		Brimonidine Ophthalmic				
Fibroadenoma	http://www.symcat.com/conditions/fibroadenoma	Fibroadenoma	null	Complete physical skin exam performed (ML)					
Cirrhosis	http://www.symcat.com/conditions/cirrhosis	Cirrhosis	"Also known as Liver Cirrhosis, Cirrhosis Of Liver, and Hepatic Cirrhosis"	Liver function tests (Liver test)					
Pelvic inflammatory disease	http://www.symcat.com/conditions/pelvic-inflammatory-disease	Pelvic inflammatory disease	Also known as PID			Sharp abdominal pain	84		
Pyogenic skin infection	http://www.symcat.com/conditions/pyogenic-skin-infection	Pyogenic skin infection	Also known as Pyoderma and Pyodermia	Culture wound					
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null					Other	0.5x
Drug reaction	http://www.symcat.com/conditions/drug-reaction	Drug reaction	Also known as Medication Side Effect and Adverse Drug Reaction			Dizziness	35		
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome		Memantine (Namenda)				
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration		Proparacaine Ophthalmic				
Pelvic organ prolapse	http://www.symcat.com/conditions/pelvic-organ-prolapse	Pelvic organ prolapse	null					45-59 years	1.4x
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury					Black	1.1x
Conjunctivitis	http://www.symcat.com/conditions/conjunctivitis	Conjunctivitis	Also known as Conjunctiva Inflammation					Black	1.3x
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null	Complete blood count (Cbc)					
Prostatitis	http://www.symcat.com/conditions/prostatitis	Prostatitis	Also known as Prostate Inflammation		Finasteride (Propecia)				
Scleroderma	http://www.symcat.com/conditions/scleroderma	Scleroderma	Also known as Dermatosclerosis			Skin growth	30		
Osteomyelitis	http://www.symcat.com/conditions/osteomyelitis	Osteomyelitis	Also known as Bone Infection					5-14 years	0.4x
Sinus bradycardia	http://www.symcat.com/conditions/sinus-bradycardia	Sinus bradycardia	null			Fainting	38		
Peripheral nerve disorder	http://www.symcat.com/conditions/peripheral-nerve-disorder	Peripheral nerve disorder	Also known as Peripheral Neuropathy			Problems with movement	23		
Sepsis	http://www.symcat.com/conditions/sepsis	Sepsis	Also known as Septicemia					Male	1.1x
Hemorrhoids	http://www.symcat.com/conditions/hemorrhoids	Hemorrhoids	Also known as Piles		Docusate (Colace)				
Myopia	http://www.symcat.com/conditions/myopia	Myopia	Also known as Nearsightedness		Fluorescein Ophthalmic				
Conduct disorder	http://www.symcat.com/conditions/conduct-disorder	Conduct disorder	null					Hispanic	0.9x
Obstructive sleep apnea (OSA)	http://www.symcat.com/conditions/obstructive-sleep-apnea-osa	Obstructive sleep apnea (OSA)	Also known as OSA			Sweating	4		
Open wound of the hand	http://www.symcat.com/conditions/open-wound-of-the-hand	Open wound of the hand	null	Suture of skin and subcutaneous tissue					
Bone disorder	http://www.symcat.com/conditions/bone-disorder	Bone disorder	Also known as Bone Disease			Hot flashes	3		
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"			Skin rash	86		
Contact dermatitis	http://www.symcat.com/conditions/contact-dermatitis	Contact dermatitis	"Also known as Contact Sensitivity, Contact Eczema, and Dermatitis Venenata"		Clobetasol Topical				
Hypoglycemia	http://www.symcat.com/conditions/hypoglycemia	Hypoglycemia	Also known as Low Blood Sugar Level	Electrocardiogram					
Open wound of the foot	http://www.symcat.com/conditions/open-wound-of-the-foot	Open wound of the foot	null					45-59 years	0.9x
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null					Black	0.7x
Cold sore	http://www.symcat.com/conditions/cold-sore	Cold sore	"Also known as Cold Sores, Fever Blister, Fever Sore, Lip Herpes, and Herpes Labialis"			Vaginal itching	15		
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor					15-29 years	0.8x
Benign vaginal discharge (leukorrhea)	http://www.symcat.com/conditions/benign-vaginal-discharge-leukorrhea	Benign vaginal discharge (leukorrhea)	Also known as Cervical Discharge	Pap smear					
Chronic back pain	http://www.symcat.com/conditions/chronic-back-pain	Chronic back pain	null			Loss of sensation	21		
Bursitis	http://www.symcat.com/conditions/bursitis	Bursitis	Also known as Inflammation Of Bursa		Triamcinolone Topical Product				
Degenerative disc disease	http://www.symcat.com/conditions/degenerative-disc-disease	Degenerative disc disease	Also known as Disk Degeneration and Intervertebral Disc Degeneration			Hip pain	31		
Hypovolemia	http://www.symcat.com/conditions/hypovolemia	Hypovolemia	Also known as Fluid Volume Deficit and Fluid volume depletion					60-74 years	0.9x
Viral warts	http://www.symcat.com/conditions/viral-warts	Viral warts	null		Candida Albicans Extract				
Idiopathic absence of menstruation	http://www.symcat.com/conditions/idiopathic-absence-of-menstruation	Idiopathic absence of menstruation	null			Long menstrual periods	18		
Conjunctivitis	http://www.symcat.com/conditions/conjunctivitis	Conjunctivitis	Also known as Conjunctiva Inflammation		Tobramycin (Tobi)				
Uterine fibroids	http://www.symcat.com/conditions/uterine-fibroids	Uterine fibroids	"Also known as Fibroids, Leiomyoma, Uterine Leiomyoma, Myofibroma, Fibromyoma, Leiomyofibroma, and Uterine Fibromyoma"					45-59 years	2.1x
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null		Dicloxacillin				
Panic disorder	http://www.symcat.com/conditions/panic-disorder	Panic disorder	null					45-59 years	1.3x
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		Methylene Blue				
Vaginal yeast infection	http://www.symcat.com/conditions/vaginal-yeast-infection	Vaginal yeast infection	"Also known as Vaginal Candidiasis, Vaginal Thrush, Candida Vaginitis, Yeast Vaginitis, Monilial Vaginitis, and Vaginal Moniliasis"	Mammography (Mammogram)					
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null		Niacin				
Rotator cuff injury	http://www.symcat.com/conditions/rotator-cuff-injury	Rotator cuff injury	Also known as Rotator Cuff Tear and Rotator Cuff Rupture					White	1.2x
Kidney disease due to longstanding hypertension	http://www.symcat.com/conditions/kidney-disease-due-to-longstanding-hypertension	Kidney disease due to longstanding hypertension	Also known as Hypertensive Renal Disease and Hypertensive Nephropathy			Too little hair	2		
Onychomycosis	http://www.symcat.com/conditions/onychomycosis	Onychomycosis	"Also known as Fungal Nail Infection, Tinea Unguium, Dermatophytosis Of Nail, Nail Tinea, and Dermatophytic Onychia"					Male	1.0x
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis	Other therapeutic procedures					
